CCL__ID	CCL__form	CCL__meaning_en
C553	ⲃⲏⲧⲉ, ϩⲃⲏⲧⲉ	scale-like plate
C572	ⲃⲁⲧⲥ, ⲃⲁⲥⲧ	combat, quarrel
C567	ⲃⲱⲧⲥ	array, war
C597	ⲃⲟⲩϩⲉ, ⲥⲣⲉⲃⲣⲟⲩⲃⲉ	eyelid, eyebrows
C596	ⲃⲱⲱϩ, ⲃⲟϩ	an idol at Alexandria
C602	ⲃⲱϩⲛ	cover
C603	ⲃⲱϩⲛ, ⲃⲁϩⲛ	canopy, awning
C604	ⲃⲁϩⲥⲉ	heifer
C627	ⲉⲃⲓⲧ	honey dealer
C272	ⲁϥ ⲛⲉⲃⲓⲱ, ⲁϥ ⲙⲃⲓⲟⲩ, ⲉⲃⲓⲱ	bee
C624	ⲉⲃⲓⲱ	honey
C610	ⲃⲏϭ, ⲃϭ, ⲃⲏϫ, ⲃⲉϫⲓ	falcon
C341	ⲃⲟⲓⲛⲉ, ⲃⲁⲓⲛⲉ, ⲟⲩⲱⲓⲛⲓ	harp
C471	ⲃⲟⲟⲛⲉ, ⲙⲃⲟⲛ	bad, evil
C472	ⲃⲟⲟⲛⲉ	evil, misfortune
C470	ⲃⲱⲱⲛ, ⲙⲃⲟⲛ	bad, evil
C628	ⲉⲃⲓⲏⲛ, ⲃⲱⲱⲛ	a poor, wretched person
C629	ⲉⲃⲓⲏⲛ, ⲃⲱⲱⲛ	a poor, wretched person
C630	ⲉⲃⲓⲏⲛ, ϫⲱⲃ	miserable, wretched
C319	ⲃⲁ, ⲃⲟⲓ, ⲃⲁⲉ, ⲃⲁⲉⲓ, ⲃⲁⲓ, ⲃⲉⲓ, ⲃⲁⲓⲉ, ⲃⲁⲉⲓⲏ	branch of date-palm
C620	ⲉⲃⲏ	darkening, confusion
C363	ⲃⲟⲕⲓ, ⲃⲁⲕⲉ, ⲃⲁⲕⲏ	pregnant
C484	ⲃⲛⲛⲉ	date palm-tree
C3363	ⲥⲟⲃⲛ	make breeze, make cool
C404	ⲃⲱⲗ, ⲃⲟⲗ, ⲃⲱⲣ, ⲃⲉⲗ, ⲃⲁⲗ, ⲃⲁⲣ, ⲃⲏⲗ	loosen, untie
C409	ⲃⲱⲗ	solution, interpretation
C762	ⲉⲩⲛⲓ	nether millstone, mill
C439	ⲃⲟⲗⲃⲗ, ⲫⲟⲣⲡⲉⲣ	be undermined
C2831	ⲡⲟⲙⲡⲉⲙ	swell, overflow
C2856	ⲡⲛⲛⲏ, ⲡⲛⲏ, ⲃⲉⲛⲛⲏ	doorpost, threshold, step
C415	ⲃⲟⲗ	the outside
C446	ⲃⲗⲕⲉ, ⲃⲱⲗⲕ	wrath
C444	ⲃⲱⲗⲕ, ϭⲱⲛⲧ	be wrath
C445	ⲃⲱⲗⲕ, ⲙⲃⲟⲛ	wrath
C501	ⲃⲁⲁⲣⲉ	boat, barge
C500	ⲃⲓⲣⲉ, ⲃⲁⲓⲣⲉ	basket
C499	ⲃⲓⲣ	basket
C400	ⲃⲁⲗ, ⲃⲉⲗ, ⲃⲉⲗⲗ, ⲉⲓⲁⲧ	eye
C448	ⲃⲗⲗⲉ	blind person
C449	ⲃⲗⲗⲉ	blind
C450	ⲃⲗⲗⲏ	blind person
C508	ⲃⲣⲃⲣ, ϩⲙⲟⲙ	boil, boil up/over, blaze
C511	ⲃⲣⲃⲣ	boiling heat, eruption
C512	ⲃⲉⲣⲃⲓⲣ	missile, javelin
C502	ⲃⲱⲣⲉ, ϥⲟⲣⲓ, ⲫⲟⲣⲓ	a fish
C13	ⲁⲃⲉⲣⲏϫ	rubellite
C536	ⲃⲱⲣϭ	break asunder
C636	ⲉⲃⲣⲏϭⲉ, ⲃⲃⲣⲏϭⲉ, ⲃⲃⲣⲉϭⲉ, ⲉⲃⲣⲏϫ	lightning
C540	ⲃⲏⲥ	the god Bes
C578	ⲃⲉⲉϣ, ⲃⲏⲏϣ	unripe fruit
C542	ⲃⲉⲥⲛⲏⲧ	smith
C555	ⲃⲟⲧⲉ	hateful thing, abomination
C556	ⲃⲟⲧⲉ	hateful thing, abomination
C575	ⲃⲏⲩ	outrage
C320	ⲃⲁ, ⲃⲉ, ⲃⲓ, ⲃⲉⲛⲓⲡⲉ	Eisen
C339	ⲃⲁⲓ, ⲃⲉⲓ, ϩⲣⲟⲩⲃⲁⲓ	sky
C340	ⲃⲁⲓ, ⲃⲉⲓ, ϩⲣⲟⲩⲃⲁⲓ	sky
C338	ⲃⲁⲓ	spirit
C340	ⲃⲁⲓ, ⲃⲉⲓ, ϩⲣⲟⲩⲃⲁⲓ	sky
C515	ⲃⲁⲣⲏⲓⲧ, ⲃⲁⲣⲉⲓⲧ, ⲃⲁⲣⲏⲟⲩⲧ, ⲃⲁⲣⲓⲧ, ⲃⲁ	he-goat
C329	ⲃⲉⲉⲃⲉ, ⲃⲉⲃⲉ, ⲃⲉⲃⲟⲩ, ⲃⲉⲃⲓ	bubble, well up
C333	ⲃⲏⲃ, ⲃⲁⲃ	cave, hole, den, nest
C442	ⲃⲗⲃⲓⲗⲉ, ⲛⲁⲫⲣⲓ	grain
C576	ⲃⲟⲟⲩ	heap
C323	ⲃⲱ, ⲃⲟⲩ, ⲕⲛⲧⲉ	tree
